employe_id,nom,departement,salaire,anciennete,evaluation,genre,ville
1,Thomas Roux,Finance,87085,19,3.6,M,Paris
2,Marc Bernard,Support,56618,18,,M,Lyon
3,Julie Richard,Support,49112,9,2.3,F,Marseille
4,Marie Dubois,Direction,101947,9,2.7,F,Lyon
5,Nicolas David,Marketing,58162,3,2.5,M,Toulouse
6,Alexandre Bertrand,Engineering,89707,15,3.3,M,Bordeaux
7,Emma Bertrand,Commercial,57411,19,2.6,F,Strasbourg
8,Alexandre Durand,Support,49162,9,3.1,M,Paris
9,Thomas Fournier,RH,45274,13,3.7,M,Toulouse
10,Sophie Moreau,Finance,79522,16,3.0,F,Lyon
11,Chloé Vincent,Commercial,63618,0,4.4,F,Strasbourg
12,Marc David,Marketing,76123,20,1.9,M,Lille
13,Marie Bertrand,Finance,80053,18,3.0,F,Lille
14,Sophie Robert,Finance,51870,0,3.4,F,Marseille
15,Julie Fournier,Engineering,104448,25,3.4,F,Nantes
16,Julien Garcia,Direction,90189,9,3.7,M,Lyon
17,Thomas Dubois,RH,49396,16,3.0,M,Strasbourg
18,Léa Robert,Direction,123642,3,3.5,F,Marseille
19,Hugo Lefebvre,Support,42945,16,5.0,M,Lyon
20,Pierre Bertrand,Direction,125705,21,3.9,M,Bordeaux
21,Julien Petit,Marketing,50672,9,3.1,M,Marseille
22,Jean Fournier,Commercial,52571,16,3.6,M,Lille
23,Alice Durand,Marketing,47126,2,3.3,F,Paris
24,Pierre Lefebvre,Engineering,61696,2,3.4,M,Strasbourg
25,Léa Petit,Support,64208,24,4.8,F,Strasbourg
26,Hugo Thomas,RH,62373,9,3.3,M,Strasbourg
27,Marc Fournier,Finance,66918,11,2.8,M,Lille
28,Pierre David,Engineering,77385,11,2.3,M,Bordeaux
29,Maxime Thomas,RH,72682,22,2.7,M,Strasbourg
30,Camille Fournier,Marketing,56471,17,2.4,F,Lyon
31,Chloé Vincent,Direction,110033,10,3.3,F,Strasbourg
32,Léa Roux,Engineering,69958,14,3.2,F,Lyon
33,Léa David,Support,44115,21,4.2,F,Paris
34,Hugo Roux,Finance,72911,12,4.3,M,Toulouse
35,Emma Vincent,Direction,118583,21,1.4,F,Lille
36,Alexandre Bertrand,RH,58267,4,,M,Paris
37,Sophie Moreau,Direction,84114,0,2.9,F,Nantes
38,Clara Petit,Support,39514,5,3.9,F,Nantes
39,Chloé Robert,Finance,55138,21,3.2,F,Strasbourg
40,Pierre Robert,Support,58970,25,3.1,M,Nantes
41,Clara Michel,Commercial,56780,14,3.4,F,Strasbourg
42,Maxime Leroy,RH,57630,17,3.5,M,Paris
43,Sophie Vincent,RH,62226,22,1.9,F,Bordeaux
44,Maxime Fournier,Engineering,71007,7,3.2,M,Lyon
45,Alice Bernard,Finance,83719,17,2.6,F,Lille
